因子名, 中文名,评级,计算方法
Cash Flow Yield,现金流收益率,,
Free Cash Flow Yield,自由现金流收益率,,
CFROIC,,,
Cash Flow to Total Assets,现金流比总资产,,
Free Cash Flow to Enterprise Value,自由现金流比企业价值,,
EBITDA to Enterprise Value,折旧前利润比企业价值,,
Earnings Yield,净利润,,
Earnings Yield 1 Yr Forward,年净利润,,
EarningsYield 1 Yr Forward Relative to 3 Yr History,年净利润与3年前之比,,
Earnings Yield 1 Yr Forward Relative to Sector,年净利润与板块利润之比,,
Sales Yield,营业总收入,,
Sales Yield FY1,年营业收入,,
Sales Yield FY2,2年营业收入,,
Sales Yield Mean FY1 FY2,？,,
Sales to EV (incl MV),,,
Book Value Yield,账面收益,,
Dividend Yield,股息收益率,,
Asset Turnover,资产周转率,,
Asset Turnover 12 Month Change,资产周转12月变动,,
Interest Coverage,利息偿付率,,
Capital Expenditures to Depreciation,资本支出/折旧,,
ROE,,,
Leverage,财务杠杆,,
Current Ratio,流动比率,,
Payout Ratio,股息支付率,,
Short Interest to Shares Outstanding,流通股短期利率？,,
12 Month Change in Shares Outstanding,12月流通股变动,,
1 Month Change in Recommendation,机构推荐1月内变动,,
3 Month Change in Recommendation,机构推荐3月内变动,,
Net Earnings Revisions FY2,净利润2年修正？,,
Net Earnings Revisions FY1,净利润2年修正？,,
6 Month Chg in Target Price,6个月的目标股价变动（机构预测）,,
Earnings CV (Mean EPSCVFY1 EPSCVFY2),2年净利润预测的均值,,
Earnings Estimates Count FY1,1年净利润预测,,
1 Month Earnings Momentum Mean FY1 FY2,,,
3 Month Earnings Momentum Mean FY1 FY2,,,
Mean of 1 Month & 3 Month Earnings Momentum,,,
3 Month Earnings Momentum FY1 to FY2,,,
Earnings Growth 5 Yr Historical,5年净利润增长,,
Earnings Growth FY1 to FY2,1年净利与2年前净利之比,,
10 Day Relative Strength Indicator,10日RSI,,
30 Day Relative Strength Indicator,30日RSI,,
1 Month Price Momentum,1个月价格冲量,,
3 Month Price Momentum,3个月价格冲量,,
6 Month Price Momentum,6个月价格冲量,,
12 Month Price Momentum,12个月价格冲量,,
12 Month Price Momentum Volatility Adjusted,12个月价格冲量波动率调整,,
3 Month Price Acceleration,3个月价格加速度,,
6 Month Price Acceleration,6个月价格加速度,,
Percent Off 52 Week High,,,
12 Month Realized Volatility,12个月相对波动率,,
Specific Risk Factor,特殊风险指标,,
Beta Factor,beta因子,,
Size Factor,板块大小,,
Composite General (Value、 Growth、 Quality、 Long-Term Price Momentum),综合指标,,
Composite General  (Value、 Growth、 Quality、 Long-Term Price Momentum、 ShortTerm Price Reversal),综合指标,,
Composite Value,综合指标,,
Composite General Blend (Value、 Momentum),综合指标,,
Composite General Blend (Value、 Growth),综合指标,,
Composite Quality,综合指标,,
Composite Sentiment,综合指标,,
Composite Analyst Recommendation Change,综合指标,,
Composite 12 Month Price Momentum with 1 Month Price Reversion,综合指标,,
Composite 12 Month Price Momentum with 6 Month Price Acceleration,综合指标,,
Composite Forward Earnings Momentum,综合指标,,
